Modul;Frage;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;Antwort ;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart II;Was ist das Exspiratorische Reservevolumen?;Atmungsvolumen der max. Ausatmung minus das Ruheatemzugsvolumen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart II;Was ist Residualvolumen?;Luft welche immer in den Atemwegen bleibt, auch nach max. Ausatmung;Totalkapazität minus Vitalkapazität;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart II;Was ist Vitalkapazität?;Inspiratorische Reservevolumen plus expiratorische Reservevolumen plus Ruheatemzugsvolumen;Totalkapazität minus Residualvolumen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart II;Woraus besteht Atemluft (Einatmung)?;Stickstoff (N)79%;Sauerstoff (O) 20%;Kohlendioxid (CO2) 0.03%;Edelgase 1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart II;Wie hoch ist die durchschnittliche Atemfrequenz in Ruhe und unter Belastung pro Minute?;Ruhe 12 - 16 / min;Belastung 40 - 50 / min;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart II;Wie hoch ist das durchschnittliche Atemzugsvolumen in Ruhe und unter Belastung pro Minute?;Ruhe 0.5 l / min;Belastung 2.5 l / min;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart II;Wie hoch ist das durchschnittliche Atemminutenvolumen in Ruhe und unter Belastung pro Minute?;Ruhe 6 - 8 l / min;Belastung 100 - 125 l / min;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart II;Wie gross ist die maximale Sauerstoffaufnahmefähigkeit eines Menschen?;VO2max ist mind. zur Hälfte genetisch vorgegeben und individuell verschieden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart II;Wie gross ist die durchschnittliche VO2max bei untrainierten Menschen?;Frauen 32 - 38 ml / kg KG / min;Männer 35 - 45 ml / kg KG / min;Spitzensportler im Ausdauerbereich 70 - 90 ml / kg KG / min;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart II;Welche Faktoren wirken limitierend auf die VO2max?;Herzminutenvolumen = Schlagvolumen x Herzfrequenz (normal ca. 4000);Sauerstoffnutzung in der Muskulatur (abhängig von Muskelfaserzusammensetzung, Mitochondrienvolumen, Kapillarisierung);Sauerstofftransportkapazität des Blutes;Lungenventilation;Diffusionskapazität der Lunge;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart II;Wie kommt es zur Einatmung?;Das Brustkorbinnere vergrössert sich durch die Kontraktion des Zwerchfells.;Es entsteht Unterdruck in der Lunge.;Luft wird eingesaugt (Brust- und Bauchatmung).;Die Fasern in welchen die Alveolen eingelagert sind weiten sich.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart II;Welchen Einfluss hat Training längerfristig auf die Atmung?;Alveolen entfallten sich mehr und schneller (Diffusionsfläche nimmt zu);vertiefte Ventilation (mehr CO2 reiche Luft in den Alveolen, Diffusionsprozess wird effizienter);verbesserte Umsetzung von O2 in der Muskulatur (weinger O2 im rückfliessenden Blut, begünstigte Diffusion);tieferer Herzschlag stellt Verweilzeit des Blutes an den Alveolenwänden sicher (begünstigte Diffusion);verbessertes Herzminutenvolumen (untrainierte 20 Liter, trainierte 35 Liter, Lungengefässsystem passt sich an, mehr Kontaktfläche zwischen Blut und Alveolen);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart II;Inwiefern wirkt das Atmungssystem limitierend auf die Ausdauerleistungsfähigkeit?;Über die Atmung gelangt der Sauerstoff in die Lunge und in die verzweigten Bronchien, wo er durch die Lungenbläschen (Alveolen) in den Blutkreislauf gelangt. ;Eine ineffiziente Atemtechnik oder ein vermindertes Lungenvolumen kann somit eine relevante Behinderung für Ausdauerleistungsvermögen darstellen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart II;Welchen Einflüssen unterliegt die Atmung?;Willkürliche Steuerung;Emotionen (Stress, Trauer, Angst…);Muskelaktivität (Rezeptoren, Bewegung aktiviert Atmung);CO2 Konzentration im Blut (mehr CO2 beschleunigt und vertieft die Atmung;O2 Konzentration im Blut;Hautrezeptoren (Kälte, Schmerz);Dehnungsrezeptoren in der Lunge (leiten Expiration  und Inspiration ein);Gelenkrezeptoren (Bewegung aktiviert Atmung);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart II;Welche Gesundheits-Effekte kann ein regelmässiges Ausdauertraining bewirken?;Verringerung der Systemlimiten;erhöhte physische Belastbarkeit (Einfluss auf andere Konditionsfaktoren);bessere Regenerationsfähigkeit, schnellere Erholung;Prävention im Hinblick auf das Herz-Kreislaufsystem;Reduzierung der Risikofaktoren Herz-Kreislauf-Erkrankungen (Bluthochdruck, Blutfettwerte);Reduktion des Körperfettanteils (speziell in Kombination mit Krafttraining und Ernährungsumstellung);Erhöhte psychische Belastbarkeit (Stressresistenz, Ermüdungswiderstandsfähigkeit);Bewegung, Spass, Abwechslung (soziale Komponenten);verbessertes Wohlbefinden (Bsp. Schlafqualität, Eigenwahrnehmung);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart II;Von welchem limitierenden System resp. Faktoren ist Ausdauerleistungsfähigkeit abhängig?;Herz-Kreislaufsystem;Sauerstoffaufnahmefähigkeit (Lungensystem);Transportkapazität des Blutes;Kapillarisierung (Beschaffenheit der Skelettmuskulatur);Energiespeicher;Nervensystem;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart II;Nenne möglich Symptome von Asthma;anhaltender trockener Husten;evt. Auswurf von zähem Schleim;Atemnot;pfeifende, keuchende Geräusche beim Ausatmen;Kurzatmigkeit oder Engegefühle auf der Brust;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart II;Worauf solltest du als TrainerIn achten, wenn ein Kunde mit Asthma bei dir trainiert?;abklären, um welche Form / Intensität es sich handelt;Spray gehört auf die Trainingsfläche;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart II;Nenne Unterschied Asthmaauslöser und Asthmatrigger;Das Erstere ist ein 'Auslöser', der Trigger ist ein 'Verschlimmerer';;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart II;Dürfen Personen mit Asthma Ausdauersport machen?;Ja, im moderaten Bereich, Spray muss immer dabei sein;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart II;Welche Arten des Stoffwechsels können unterschieden werden?;Baustoffwechsel und Betriebstoffwechsel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart II;Welche Energiespeicher stehen im Körper für den Betriebstoffwechsel zur Verfügung?;ATP;Kreatinphosphat;Kohlenhydrat;Fett;Protein (im Notfall);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart II;Welche Arten der Energiebereitstellung können unterschieden werden?;aerobe und anaerobe Energiebereitstellung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart II;Welche Prozesse laufen bei der Energiebereitstellung parallel ab?;ATP (1 -2 s), anaerob;Kreatinphosphat (8 -20 s), anaerob;Glukose (30 - 90 s, Laktatanhäufung), anaerob;Glukose & O2 (30 - 90 min), aerob;Fett, aerob;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart II;Was ist die aerobe Lipolyse?;Aerobe Energiebereitstellung mit O2 und Fettsäuren;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart II;Was ist die anaerobe Glykolyse?;Anaerobe Energiebereitstellung ohne O2 und mit Kohlenhydraten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart II;Wo findet die aerobe Energiebereitstellung statt?;im Zellplasma;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heart II;Wo findet die anaerobe Energiebereitstellung statt?;in den Mitochondrien;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Was empfiehlt die Schweizerische Gesellschaft für Ernährung bzgl. Aufbau der Ernährungspyramide (von unten nach oben)?;Flüssigkeit (Wasser);Gemüse und Obst;Kohlenhydrate;Protein;Fett;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Auf welchen 3 Säulen beruht die Gesundheit?;Ernährung ;Bewegung;Erholung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Was können Folgen von Übergewicht sein?;Diabetes mellitus Typ 2;Herz-Kreislauf-Erkrankungen;psychische Erkrankungen;orthopädische Probleme;hormonelle Störungen;verfrühter Tod;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Welche Ernährungsformen kennst du und wie lautet die Grundregel für diese?;Mischkost - alle Lebensmittel;Vollwertkost - wenig verarbeitete, regionale Lebensmittel;Pescetarisch - Fisch, Meeresfrüchte, sonst vegetarisch;Paleo - Fisch, Fleisch, Gemüse, Eier, kein Getreide, keine Milch;Vegetarisch - kein Fleisch, kein Fisch;Vegan - absolut keine tierischen Produkte;Frutarisch - Fallobst, Nüsse, Samen;Rohkost - vegetarisch, nur roh;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Welche Nährstoffe zählen zu den Baustoffen des Menschen?;Proteine und Mineralstoffe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Wieviel Energie liefern die Nährstoffe Fett, Protein, Kohlenhydrate in kcal und kJ?;Fett 9 kcal / 39 kJ;Kohlenhydrate 4 kcal / 17 kJ;Protein 4 kcal / 17 kJ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Wie bestimmt man den Grundumsatz eines Mannes / einer Frau?;Mann: 24 mal Körpergewicht in kg;24 mal Körpergewicht in kg mal 0.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Von welchen 7 Faktoren hängt der Gesamtenergieumsatz des Menschen ab?;Geschlecht;Alter;Gewicht;Muskelmasse;Aktivität;Genetik;Klima;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Wie errechnet man den BMI?;Körpergewicht in kg geteilt durch Grösse in m2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Wie lautet die Grundempfehlung der prozentualen Verteilung der Nährstoffe für den Gesamtenergiebedarf?;50 - 55% Kohlenhydrate;15 - 20% Protein;25 - 30% Fett;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Wie lautet die chemische Strukturformel für Einfachzucker?;C6 H12 O6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Wie viele Stück Würfelzucker sind ca. in einem Liter Softgetränk (Limo, Cola, Nektar etc.)?;ca. 40 Stück;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Wie lautet die Empfehlung für die tägliche Menge an Ballaststoffen?;mind. 30 g / Tag;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Ab welchem Blutzuckerwert (nüchtern gemessen) ist der Blutzucker zu hoch?;grösser als 126 mg / dl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Wie lautet der chemische Aufbau eines Fettmoleküls?;1 Teil Glycerin und 3 Teile Fettsäuren;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Welche Fettsäuren sind für die Ernährung empfehlenswert und welche Lebensmittel kann man hier empfehlen?;Omega 3 in fettem Fisch, Algen, Leinöl, Wallnussöl;Omega 9 in Olivenöl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Welche Fettsäuren sollen gemieden werden? In welchen Lebensmittel findet man diese vermehrt?;Omega 6,  weniger empfehlenswert, da es insgesamt zuviel in den Lebensmitteln vorkommt;gesättigte Fettsäuren in allen tierischen Lebensmitteln;Transfette in industriell gefertigten und in frittierten Lebensmitteln;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Nenne die chemischen Aufbaustufen eines Proteins;Aminosäure;Dipeptid;Tripeptid;Oligopeptid;Polypeptid;Protein;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Welche Lebensmittel-Kombination hat die höchste biologische Wertigkeit?;Kartoffel mit Ei;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Was bedeutet biologische Wertigkeit?;Das Mass, wie effizient Nahrungsprotein in körpereigenes Protein umgewandelt werden kann.;Je höher die biologische Wertigkeit (Wert), desto besser kann der Körper das Eiweiss für Muskeln, Enzyme und Hormone nutzen.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Wie hoch ist die Tagesempfehlung für die Flüssigkeitszufuhr?;1 ml / kcal Energiebedarf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Wo ist der Wassergehalt im Körper am höchsten?;im Blut;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;In welche Gruppen werden Vitamine eingeteilt?;fettlösliche Vitamine;wasserlösliche Vitamine;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Nenne 6 Minerastoffe;Calcium;Magnesium;Phosphor;Natrium;Chlor;Kalium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Nenne 6 (von 10) Spurenelemente;Eisen;Jod;Zink;Fluor;Mangan;Kupfer;Selen;Chrom;Cobalt;Molybdän;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Nenne die Ernährungsregeln für gesunde Ernährung;1. Gemüse, Salat, Obst;2. Wasser als Getränk;3. pflanzliches und tierisches Protein mischen;4. vollwertige Lebensmittel;5. wenig Zucker;6. wenig bis selten industriell erzeugte Lebensmittel;Omega 3 und Omega 9 haltige Öle;mehr pflanzliche als tierische Lebensmittel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Welche Arbeitsmittel stehen dem Ernährungstrainer zur Verfügung?;Blutzuckermessinstrument;Blutdruckmessinstrument;Kaliperzange;Massband;Wertungstabellen;Nährwerttabellen;Energie-Berechnungs-App;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Welche Aufgaben (6) hat ein Ernährungstrainer?;Beratungsgespräch;Anamnese;Testungen;Ernährungs-Regeln;Begleitung;Kontrolle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Was erfragt der Ernährungstrainer beim Erstkontakt?;Wunsch & Ziel;Mahlzeiten des Vortags;Ernährungsgewohnheiten;Berufs- und Bewegungsprofil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Wie heissen die verschiedenen Kohlenhydrate (beide Bezeichnungen) der Gruppen?;a. Monosaccharide: 1. Glucose (Traubenzucker) 2. Fructose (Fruchtzucker) 3. Galactose (Schleimzucker);b. Disaccharide: 1. Maltose (Malzzucker) 2. Saccharose (Zucker) 3. Lactose (Milchzucker;c. Oligosaccharide: Mehrfachzucker;d. Polysaccharide: Vielfachzucker;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Aus wievielen Monosacchariden setzen sich die Kohlenhydrate zusammen?;a. Monosaccharide: eins;b. Disaccharide: zwei;c. Oligosaccharide: drei bis 10;d. Polysaccharide: mehr als zehn;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Wie werden Pflanzenfasern unterschieden?;wasserlösliche Ballaststoffe;wasserunlösliche Ballaststoffe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Wieviel Muskelglykogen speichert ein untrainierter Mensch?;ca. 300 g;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Wiviel Glykogen speichert die Leber?;Leberglykogen ca. 100 g;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Erkläre die Glykolyse;zentraler Abbau von Glukose (Traubenzucker) zur Energiegewinnung;Der Prozess findet im Zytoplasma fast aller lebenden Zellen statt und läuft komplett ohne Sauerstoff (anaerob) ab.;Aus einem Molekül Glukose (C6) entstehen zwei Moleküle Pyruvat (C3). Dabei gewinnt die Zelle direkt nutzbare Energie: + 2 ATP (Energie für die Zelle) und + 2 NADH (Elektronenträger für die spätere Atmungskette).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Erkläre die Glykoneogenese;Neubildung von Glukose aus Nicht-Kohlenhydraten, findet hauptsächlich in der Leber statt, zu kleinem Teil in den Nieren;Der Körper nutzt verschiedene Bausteine, wenn die Kohlenhydratspeicher leer sind: Lactat (aus dem Muskelstoffwechsel), Glucogene Aminosäuren (aus dem Abbau von Proteinen), Glycerin (aus dem Abbau von Fetten).;Ist fast die exakte Umkehrung der Glykolyse mit Hilfe von Enzymen. Hoher Energieaufwand für den Körper, wird streng reguliert durch Hormone, um den Blutzuckerspiegel stabil zu halten.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Was bedeutet Carboloading?;vermehrtes Auffüllen des Muskelglykogenspeichers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Wie hoch sollte die Kohlenhydratzufuhr bei Carboloading sein?;ca. 70%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Welche Nährstoff-Kombination ist bei Carboloading ideal?;leicht vedauliche Kohlenhydrate, Kombination mit Protein, Chrom, Kalium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Warum spricht man von leeren Kohlenhydraten?;enthalten keine Vitamine, Minerlastoffe, Spurenelemente, Ballaststoffe, sekundäre Pflanzenstoffe;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Welche Lebensmittel sind gute Lieferanten für vollwertige Kohlenhydrate?;Gemüse roh als Salat und gekocht, Obst, Vollkornprodukte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Welche Nachteile hat eine zu hohe Zuckerzufuhr?;zu schneller Blutdruckanstieg;Überzuckerung nach dem Essen;ständige Insulinproduktion;Hungerattacken;Insulinresistenz;Diabetes mellitus Typ 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Was können die Folgen von einer Kohlenhydratunterversorgung sein?;zu wenig Glucose für Hirn, Organe und Zellen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Was bedeutet ein hoher Index bei Glyx?;Schneller Anstieg des Blutzuckers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Wofür steht Glyx?;Glykämischer Index;Er ist das Mass dafür, wie stark und wie schnell ein kohlenhydrathaltiges Lebensmittel den Blutzuckerspiegel ansteigen lässt.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Nenne Lebensmittel mit hohem Glyx;Trockenfrüchte;Süssigkeiten;Softdrinks;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Wie wirkt Fruchtzucker auf den Blutzuckerspiegel?;hat kaum Einfluss auf den Blutzuckerspiegel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Ab welchem Wert wird nüchtern zu hoher Blutzucker diagnostiziert?;grösser als 126 mg / dl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Nenne Vorstufe von Diabetes mellitus Typ 2;Insulinresistenz;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Wie verläuft der Weg der Verdauung?;Mund;Speiseröhre;Magen;Zwölffingerdarm;Dünndarm;Dickdarm;Mastdarm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Wie ist der Aufbau des Dünndarms?;Mucosa;Submucosa;Muscularis;Seros;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Wie wird Vitamin B12 resorbiert?;durch den Intrinsic-Factor im Magen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Was ist der Intrinsic-Factor?;spezielles Transporteiweiss (Glykoprotein);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Wie lautet die Endung aller Kohlenhydrat verdauenden Enzyme?;-ase;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Nenne Kohlenhydrat verdauende Enzyme;Alpha-Amylase;Pankreas-Amylase;Maltase;Isomaltase;Lactase;Saccharase;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Was sind Divertikel?;Dickdarmausbuchtungen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Was bedeutet Anamnese?;Erfragen und protokollieren von persönlichen Daten und Testungen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Was sind anthropometrische Daten bei der Anamnese?;Gewicht;Grösse;Körperfettmessung;Body-Mass-Index;Waist-to-Height-Ratio;Waist-to-Hip-Ratio;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Was sind internistische Daten bei der Anamnese?;Herzfrequenz in Ruhe;Blutdruck;Blutzucker;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Was ist der T/H-Quotient?;Taillen-Hüft-Quotient;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Nenne die Formel für WHR-Wert? Ab welchem WHR-Wert spricht man vom Apfeltyp (Frau / Mann)?;WHR = Taillenumfang in cm geteilt durch Hüftumfang in cm;Mann: Bauchumfang grösser als 0.99;Frau: Bauchumfang grösser als 0.84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Wo befindet sich subcutanes Fett?;unter der Haut;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Nenne den oberen und den unteren Blutdruckwert;systolischer;diastolischer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Nenne den Wert für optimalen Blutdruck nach WHO;120 / 80 mm Hg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Nenne den Wert ab Klassifikation Bluthochdruck nach WHO;140 / 90 mm Hg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Welche Stoffwechselstörungen können die Folge von falscher Ernährung sein?;Diabetes mellitus Typ 2;Gicht;Hypercholesterinämie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Welche Herz-Kreislauf-Erkrankungen können die Folge von falscher Ernährung sein?;Bluthochdruck;Artherosklerose;Herzinfarkt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Was ist Adipositas?;Fettsucht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Was ist Hypercholesterinämie?;Zu hohe schlechte Cholesterinwerte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Was ist Hypertonie?;Bluthochdruck;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Was ist Helicobacter?;schädliches Magenbakterium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Welche Vorteile bietet ein Ernährungsprotokoll?;genaue Ist- Situation der Ernährung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Wie errechnet sich der Grundumsatz?;Mann: 24 x Körpergewicht in kg;Frau: 24 x Körpergewicht in kg x 0.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Wie errechnet sich der Gesamtumsatz?;Grundumsatz x PAL;PAL = Tabelle entsprechend körperlicher Tätigkeit;Gesamtumsatz = gesamter Energiebedarf eines Menschen an einem Tag;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Wofür steht PAL?;Physical Activity Level (Zahl ohne Einheit), eine Zahl die beschreibt wie viel sich ein Mensch am Tag bewegt.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Wie errechnet sich die Nährstoffverteilung?;50 - 55 % Kohlenhydrate;15 - 20 % Protein;25 - 30 % Fett;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Wie lautet die Einteilung der Herkunft von Fett?;tierisches Fett;pflanzliches Fett;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Wie werden Fettsäuren unterteilt?;gesättigte Fettsäuren;einfach ungesättigte Fettsäuren;mehrfach  ungesättigte Fettsäuren;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ernährung;Welche Fettsäuren haben einen negativen Einfluss auf den Cholesterinspiegel?;gesättigte Fettsäuren;Transfette;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
